Name,Description,Location,Price,Url,Image
4 Bed House in Nyari,4 Bed House in Nyari,"Nyari, Westlands",Price not communicated,/listings/4-bedroom-house-for-rent-nyari-3623660,https://i.roamcdn.net/prop/brk/listing-thumb-376w/c18df8c33939424def6ea66c405232c6/-/prod-property-core-backend-media-brk/5520842/6deae430-b3e5-4ab1-90e7-966f30cc791a.jpg
4 Bed Townhouse with En Suite at Ridgeways,4 Bed Townhouse with En Suite at Ridgeways,Ridgeways,"KSh 285,000",/listings/4-bedroom-townhouse-for-rent-ridgeways-3639903,https://i.roamcdn.net/prop/brk/listing-thumb-376w/343e31e67b6789be4d515198a0a9ddc2/-/prod-property-core-backend-media-brk/5760878/a3b24da6-4f29-4c18-9c64-d0dac122eb32.png
2 Bed House with En Suite at Westland,2 Bed House with En Suite at Westland,"01, Runda, Westland, Westlands","KSh 250,000",/listings/furnished-2-bedroom-house-for-rent-runda-3646200,https://i.roamcdn.net/prop/brk/listing-thumb-376w/eba186a633a44a0548fd7203c1ec9055/-/prod-property-core-backend-media-brk/5852679/b88440f3-d5e3-4a8a-a4e5-5a1479d9b0fc.jpeg
4 Bed House with En Suite at Westland,4 Bed House with En Suite at Westland,"01, spring valley, Westland, Spring Valley, Westlands","KSh 250,000",/listings/4-bedroom-house-for-rent-spring-valley-3642431,https://i.roamcdn.net/prop/brk/listing-thumb-376w/df016c9f028143592ade9d7050911565/-/prod-property-core-backend-media-brk/5798332/dcc25e54-06c9-4171-b3fd-6c729a3dfa05.jpg
7 Bed House with En Suite at Karen,7 Bed House with En Suite at Karen,"karen, Karen","KSh 850,000",/listings/7-bedroom-house-for-rent-karen-3632934,https://i.roamcdn.net/prop/brk/listing-thumb-376w/5e6287f395624a2b16a0ef69343ef2f7/-/prod-property-core-backend-media-brk/5659050/89eb8bc0-7814-46d2-b639-4f9511ec2a16.jpeg
4 Bed House with En Suite in Kitisuru,4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","KSh 250,000",/listings/4-bedroom-house-for-rent-kitisuru-60-3551672,https://i.roamcdn.net/prop/brk/listing-thumb-376w/ca341ede51ecbeb3c6950b1b808af289/-/prod-property-core-backend-media-brk/5115058/47cf07a1-91b9-42be-a2e7-921678a1169e.jpeg
5 Bed Townhouse with En Suite in Lavington,5 Bed Townhouse with En Suite in Lavington,Lavington,"KSh 200,000",/listings/5-bedroom-townhouse-for-rent-lavington-3620371,https://i.roamcdn.net/prop/brk/listing-thumb-376w/05d7153dd1d18ae008961872ba13a779/-/prod-property-core-backend-media-brk/5470867/5b5681b3-27d2-4ce6-a5f0-ecc89475027b.jpg
4 Bed House with En Suite in Lake View,4 Bed House with En Suite in Lake View,"Lake View, Westlands","KSh 420,000",/listings/4-bedroom-house-for-rent-lake-view-3605011,https://i.roamcdn.net/prop/brk/listing-thumb-376w/e91bab2112c6278e3a732aaa477822a0/-/prod-property-core-backend-media-brk/5233735/67d3ad61-ddfc-4ae5-a421-a058176c7ecb.jpg
4 Bed House with En Suite in Kitisuru,4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","KSh 200,000",/listings/4-bedroom-house-for-rent-kitisuru-3613831,https://i.roamcdn.net/prop/brk/listing-thumb-376w/7fb086355855e53dda15274e1e378b08/-/prod-property-core-backend-media-brk/5369669/bafcbd26-08fe-4922-939b-2bae1749f35f.jpeg
4 Bed House with En Suite at Mageta Road,4 Bed House with En Suite at Mageta Road,"Mageta road, Lavington","KSh 250,000",/listings/4-bedroom-house-for-rent-lavington-32057,https://i.roamcdn.net/prop/brk/listing-thumb-376w/21a25e1c27e47e246a4f1a5cd4848800/-/prod-property-core-backend-media-brk/1632040/CA9D57157228D133CD24BE0DE77F54A4.jpg
4 Bed Townhouse with En Suite at Kiambu Road,4 Bed Townhouse with En Suite at Kiambu Road,"01, Kiambu Road","KSh 200,000",/listings/4-bedroom-townhouse-for-rent-kiambu-road-3645125,https://i.roamcdn.net/prop/brk/listing-thumb-376w/bcf8e6098fc29fb8367ddf11fa63e340/-/prod-property-core-backend-media-brk/5836478/1a6d4ad9-ca9c-4df6-ad78-8e1bc2c2e9ae.jpeg
4 Bed Townhouse with En Suite at Lavington,4 Bed Townhouse with En Suite at Lavington,"01, Lavington","KSh 380,000",/listings/4-bedroom-townhouse-for-rent-lavington-3644807,https://i.roamcdn.net/prop/brk/listing-thumb-376w/2a3cc2ef9c60b3d04a585433e9221680/-/prod-property-core-backend-media-brk/5831430/a5c3ca8c-df04-4ee5-aa97-6a1950781279.jpeg
4 Bed Townhouse with En Suite at Off Ruaka Rd,4 Bed Townhouse with En Suite at Off Ruaka Rd,"2, Off Ruaka Rd, Runda, Westlands","KSh 300,000",/listings/4-bedroom-townhouse-for-rent-runda-3562874,https://i.roamcdn.net/prop/brk/listing-thumb-376w/851e4211cf3546b308c3ad0ac557b23f/-/prod-property-core-backend-media-brk/4622370/a4b2a586-a44c-4070-ab60-b80b07565300.jpg
5 Bed Townhouse with En Suite at Lavington,5 Bed Townhouse with En Suite at Lavington,"00, Lavington","KSh 400,000",/listings/5-bedroom-townhouse-for-rent-lavington-3649584,https://i.roamcdn.net/prop/brk/listing-thumb-376w/44898e8d34627dfddab5aad4aaf363fa/-/prod-property-core-backend-media-brk/5902021/8c5d75c7-d558-4537-8483-94ef8c7e1bc5.jpg
5 Bed House with En Suite at Kitisuru,5 Bed House with En Suite at Kitisuru,"01, Kitisuru, Westlands","KSh 580,000",/listings/5-bedroom-house-for-rent-kitisuru-3645308,https://i.roamcdn.net/prop/brk/listing-thumb-376w/dadbfe7be092afb61ba9acb79d627248/-/prod-property-core-backend-media-brk/5838969/b3931316-1719-420c-9e90-12806df390b0.jpeg
5 Bed House with En Suite at Windsor,5 Bed House with En Suite at Windsor,"Windsor, Roysambu","KSh 595,000",/listings/5-bedroom-house-for-rent-windsor-3647608,https://i.roamcdn.net/prop/brk/listing-thumb-376w/1656959625fc1e6a40a928f7ef6329f6/-/prod-property-core-backend-media-brk/5873210/4ea89347-9ea6-4b6d-98ce-ccd32530b1ba.jpg
4 Bed House with En Suite in Runda,4 Bed House with En Suite in Runda,"Runda, Westlands","KSh 300,000",/listings/4-bedroom-house-for-rent-runda-2-3574587,https://i.roamcdn.net/prop/brk/listing-thumb-376w/e83c715dcb83ee43d0a02b68ff970be1/-/prod-property-core-backend-media-brk/4796708/3a48067f-38b9-470c-bf51-585ea70be56a.jpg
5 Bed House with En Suite in Karen,5 Bed House with En Suite in Karen,Karen,"KSh 700,000",/listings/furnished-5-bedroom-house-for-rent-karen-3644024,https://i.roamcdn.net/prop/brk/listing-thumb-376w/51b265bfb6e44927b442ac6b682f8327/-/prod-property-core-backend-media-brk/5820727/a4c5384d-28f9-48f7-9567-d36cc91110ad.jpg
4 Bed Townhouse with En Suite in Runda,4 Bed Townhouse with En Suite in Runda,"Runda, Westlands","KSh 350,000",/listings/4-bedroom-townhouse-for-rent-runda-3610897,https://i.roamcdn.net/prop/brk/listing-thumb-376w/370b484ad6dbc50cc3f3a4cd615fb0bf/-/prod-property-core-backend-media-brk/5779186/22b10f96-0263-4171-b9c0-3ea62ba9722c.jpeg
